method,look,horizon,n,balance
ledoit_wolf,99,7,133,0.5913094762393218
ledoit_wolf_single_factor,74,9,106,0.5912791299532226
oracle_approximating,99,7,133,0.5910705678226226
sample_cov,101,9,103,0.5910326755342743
sample_cov,93,5,188,0.5907488589063312
exp_cov,95,6,156,0.5899139921591786
oracle_approximating,101,6,155,0.5899076838613875
ledoit_wolf_single_factor,78,5,191,0.5895233753734496
ledoit_wolf_single_factor,89,8,117,0.5890460383031065
ledoit_wolf_constant_correlation,90,5,188,0.5889685397794753
exp_cov,93,7,134,0.5885127174638418
ledoit_wolf_constant_correlation,91,8,117,0.5884627866388185
ledoit_wolf_constant_correlation,96,9,103,0.5882859800167436
ledoit_wolf_single_factor,90,4,236,0.5878442944891982
sample_cov,92,9,104,0.587753101436576
ledoit_wolf_single_factor,88,8,117,0.5875993200892101
ledoit_wolf_constant_variance,98,6,155,0.5875918153924964
ledoit_wolf,98,6,155,0.5875918153924964
exp_cov,93,5,188,0.5874310107232775
oracle_approximating,93,5,188,0.5872990313458095
ledoit_wolf_single_factor,94,6,156,0.5872282805493512
ledoit_wolf_single_factor,100,5,186,0.5866259001729655
exp_cov,91,7,134,0.5863129906393302
sample_cov,96,8,116,0.5857322038594045
exp_cov,98,7,133,0.5856175819643868
ledoit_wolf_constant_correlation,87,6,157,0.5855167739141431
ledoit_wolf_single_factor,91,6,156,0.5854011439594078
semicovariance,73,8,119,0.5849227383040374
ledoit_wolf_single_factor,80,6,158,0.5847780441033762
ledoit_wolf,101,9,103,0.584686624407535
ledoit_wolf_constant_variance,101,9,103,0.584686624407535
ledoit_wolf_single_factor,101,7,132,0.5846585581440871
ledoit_wolf_constant_correlation,97,9,103,0.5842972715280949
ledoit_wolf_constant_variance,93,5,188,0.5839922225367813
ledoit_wolf,93,5,188,0.5839922225367813
sample_cov,95,9,103,0.583844886650044
oracle_approximating,101,9,103,0.5837861839420261
ledoit_wolf_constant_correlation,85,5,189,0.5831445672021373
ledoit_wolf_single_factor,91,9,104,0.5831240598992201
sample_cov,91,7,134,0.5830098485993239
ledoit_wolf_single_factor,84,7,135,0.5828111515090679
oracle_approximating,98,6,155,0.5826936519364353
ledoit_wolf_constant_correlation,77,5,191,0.5825781167902702
ledoit_wolf_single_factor,95,9,103,0.5822221602599915
ledoit_wolf_single_factor,100,3,311,0.5820895526849749
oracle_approximating,92,9,104,0.5819663659506797
ledoit_wolf_constant_correlation,84,8,118,0.5815387321562255
sample_cov,100,8,116,0.58118635707633
ledoit_wolf_single_factor,86,3,316,0.5811157049218677
ledoit_wolf,92,9,104,0.5807402741112053
ledoit_wolf_constant_variance,92,9,104,0.5807402741112053
ledoit_wolf_constant_correlation,87,3,316,0.5805417866533717
ledoit_wolf_constant_correlation,87,4,236,0.5802530529272343
oracle_approximating,100,8,116,0.5801523903148373
ledoit_wolf_constant_correlation,77,6,159,0.5798870483927955
ledoit_wolf_constant_correlation,81,5,190,0.579755724946909
sample_cov,102,4,233,0.5796462858540274
ledoit_wolf,100,8,116,0.5796459501248227
